,алкоголь,начальная плотность,расчетная горечь,хмель,солод,name,а также,солода
55,"6,9 %","18,0 %",20 IBU,COLUMBUS,"MARRIS OTTER, MUNICH, CARAMEL",lost-pumpkins,КУПАЖ ПРЯНОСТЕЙ ДЛЯ ТЫКВЕННОГО ПИРОГА,
56,"6,5 %","14,5 %",20 IBU,"CITRA, GALAXY, IDAHO","PALE ALE, WHITE CLASSIC",jazzandjuice,"МАНГО, АНАНАС, МАРАКУЙЯ, АПЕЛЬСИН, ГУАВА И БАНАН",
57,"4,5 %",11 %,10 IBU,COLUMBUS,"PILSNER, WHEAT",sourswing,,
58,"6,5 %","14,5 %",20 IBU,CITRA,"PALE ALE, WHEAT CLASSIC",tiki,"ЛИЧИ, ЕЖЕВИКА, ЛАЙМ, КОКОС, ЮДЗУ",
59,"8,5 %",19 %,160 IBU,"GALAXY, VIC SECRET, IDAHO","PILSNER, CARAMEL",hyper-ipa,,
60,"6,5 %","14,5 %",20 IBU,"CITRA, GALAXY, IDAHO","PALE ALE, WHITE CLASSIC",jazz-and-juice-grapefruit,ГРЕЙПФРУТ,
61,"8,0 %","20,0 %",22 IBU,"COLUMBUS, WILLAMETTE","PALE ALE, MUNICH, OATS, WHEAT, ROASTED BARLEY, CARAAROMA, CRYSTAL, WHEAT CHOCOLAT, BLACK",somnambula,,
62,"8,2 %",20 %,20 IBU,"PERLE, CRYSTAL","MARIS OTTER, RYE, CARAMEL, SPECIAL B, CHOCOLATE, ROASTED BARLEY",ekaterina,,
63,7%,18 %,10 IBU,MAGNUM,"PILSNER, CARAMEL",saison-raspberry,,
64,"4,5 %","14,5 %",10 IBU,,"PILSNER, WHEAT",happy-new-breeze,,
65,"9,0 %","23,0 %",46 IBU,"CASCADE, CENTENNIAL, CITRA, MOSAIC","PALE ALE, MELANO, BROWN SUPREME",durak,,
66,"8,5 %",19 %,120 IBU,,"PILSNER, CARAMEL",tarantula-love,,
67,"4,7 %",13 %,10 IBU,COLUMBUS,"MARRIS OTTER, SPECIAL B, WHEAT",bonom,,
68,"0,5 %","3,5 %",20 IBU,"CITRA, ELDORADO","PALE ALE, SPECIAL",my-apricot-morning,АБРИКОС,
69,"6,0 %","15,0 %",20 IBU,"GALENA, WILLAMETTE, FIRST GOLD","PALE ALE, MUNICH, CRYSTAL, BLACK",jaws-brownale,,
70,"6,5 %",16 %,20 IBU,"CITRA, EL DORADO, CRYO POP","PALE ALE, WHEAT, OATS",spot-coffee,,
71,"6,5 %",16 %,20 IBU,"CITRA, EL DORADO, CRYO POP","PALE ALE, WHEAT, OATS",spot-coffee,,
72,"5,3 %","12,5 %",35 IBU,"AHTANUM, CASCADE","PILSNER, GOLD CLASSIC",jawslager,,
73,"6,0 %","15,0 %",20 IBU,MOSAIC,"PALE ALE, WHEAT, OATS",populism-mosaic-edition,,
74,6 %,15 %,10 IBU,"PERLE, HALLERTAUER MITTELFRUHER","PILSNER, MUNICH, CARAMEL",jawsmarzen,,
75,"10,5 %",26 %,50 IBU,"COLUMBUS, CASCADE, WILLAMETTE","MARIS OTTER, MUNICH, OATS, CARAMEL, ROASTED BARLEY, SPECIAL B, BLACK, CHOCOLATE, SMOKED MALT",,,
